,len_before_processing,len_after_processing
913,7741,5299
914,17443,12064
915,17905,12060
916,5858,3753
917,12801,8643
918,82077,59647
919,37477,24801
920,8117,5412
921,22663,14905
922,45614,31180
923,9711,6411
924,7720,5064
925,8181,5317
926,7722,5059
927,28180,20005
928,28502,18816
929,7664,4904
930,7248,4597
931,10540,5918
932,23666,16228
933,13951,9029
934,28051,19478
935,8959,6034
936,8057,5680
937,26800,18525
938,16514,11842
939,37332,24607
940,23287,15984
941,9508,6571
942,26123,17928
943,17463,11955
944,21247,13543
945,19377,12715
946,31257,22564
947,14554,9828
948,25919,16459
949,16618,11400
950,5801,3705
951,31631,21769
952,3975,2754
953,19501,13415
954,21127,14392
955,17215,11779
956,20390,13855
957,11944,8141
958,8604,5981
959,38510,26489
960,20134,13353
961,23886,15529
962,16715,11166
963,15086,10327
964,13998,9014
965,26574,17952
966,23926,16500
967,7673,5085
968,5230,3709
969,7164,4753
970,7040,4669
971,6713,4392
972,5643,3819
973,23204,15688
974,27264,18021
975,45024,31228
976,3029,1920
977,28502,19704
978,13850,9489
979,18526,11816
980,36070,24135
981,25536,16330
982,42834,28227
983,28967,19935
984,23548,16151
985,4986,3499
986,33670,23106
987,13300,8921
988,6046,4027
989,6006,4197
990,19173,12712
991,47784,32862
992,24188,16933
993,23927,16113
994,22120,14933
995,15689,9915
996,16196,10408
997,34997,23130
998,14614,9716
999,24117,15837
1000,17377,12037
1001,11232,7738
1002,16509,10886
1003,12587,8294
1004,10898,7300
1005,16238,10557
1006,10519,6613
1007,19087,12597
1008,12590,8847
1009,14886,9535
1010,13609,9217
1011,9700,7155
1012,14015,9694
1013,8449,6085
1014,13094,9347
1015,26717,17625
1016,26266,17568
1017,33066,22563
1018,18112,12213
1019,13372,9400
1020,13041,8916
1021,22152,15242
1022,36995,25027
1023,14468,9885
1024,34198,20995
1025,19229,13312
1026,23512,14840
1027,6309,4387
1028,18333,11292
1029,36281,24021
1030,42301,27919
1031,38689,26691
1032,19321,13330
1033,15599,10441
1034,24241,16286
1035,21338,14239
1036,26269,18383
1037,25520,17300
1038,31775,19920
1039,5549,3874
1040,29390,18926
1041,24042,15392
1042,27233,17342
1043,33074,21433
1044,8963,6038
1045,18630,11796
1046,29107,19692
1047,42133,28312
1048,36078,25201
1049,38364,25046
1050,33564,22270
1051,12819,8560
1052,16988,12029
1053,31790,21038
1054,2747,1858
1055,7952,5536
1056,23399,14547
1057,63086,42251
1058,44410,31628
1059,41036,28024
1060,41803,28927
1061,33316,23912
1062,32733,23533
1063,62148,44514
1064,52173,35646
1065,32997,22250
1066,45913,32108
1067,36337,24952
1068,9113,6059
1069,50988,36623
1070,23201,14926
1071,25594,16675
1072,22526,16486
1073,9518,5803
1074,18460,12186
1075,26411,17770
1076,15745,9583
1077,31702,20125
1078,18539,12412
1079,19166,12069
1080,39294,26624
1081,39441,26410
1082,32156,22032
1083,29096,19807
1084,18257,12324
1085,31868,21007
1086,22257,14928
1087,30632,20538
1088,26790,18900
1089,32235,21862
1090,27184,17898
1091,19639,13074
1092,24157,16513
1093,45449,33011
1094,27641,18261
1095,32726,21885
1096,35585,24146
1097,34432,23512
1098,24667,16738
1099,6469,4300
1100,72817,49374
1101,8635,5804
1102,10821,7570
1103,27720,18316
1104,5499,3724
1105,4967,3663
1106,14548,9646
1107,15044,9843
1108,5419,3496
1109,27581,18580
1110,27979,18039
1111,30252,19572
1112,6658,4656
1113,7310,4727
1114,8211,5498
1115,20070,13087
1116,31332,20797
1117,9698,6105
1118,11246,7599
1119,17327,11572
1120,22695,14943
1121,24680,16249
1122,34187,23338
1123,31869,22422
1124,25961,17770
1125,26802,17893
1126,21147,14698
1127,23698,16093
1128,25259,17409
1129,24990,17332
1130,23085,15258
1131,20380,12983
1132,17740,11771
1133,14198,9034
1134,31194,20057
1135,19204,12183
1136,31257,21557
1137,4742,3183
1138,4519,3104
1139,26559,18164
1140,40357,24300
1141,32060,21343
1142,56195,35277
1143,7870,5411
1144,24728,15653
1145,24395,16054
1146,33509,22829
1147,10128,6973
1148,19536,11846
1149,18937,13108
1150,29311,18003
1151,23331,16069
1152,4998,3290
1153,12489,8556
1154,9582,6128
1155,4486,3136
1156,25718,16086
1157,6654,4592
1158,17565,11864
1159,5231,3508
1160,19894,13319
1161,9701,6253
1162,17889,12134
1163,16527,10769
1164,22579,15355
1165,6687,4626
1166,13713,9398
1167,13478,9029
1168,9417,6528
1169,62056,39048
1170,32815,22407
1171,18571,12399
1172,10387,6748
1173,19151,12801
1174,21559,13561
1175,5963,4186
1176,28929,21193
1177,20669,14312
1178,20599,13361
1179,10575,7073
1180,21655,14409
1181,8317,5217
1182,16510,11298
1183,4848,3172
1184,17854,11408
1185,18369,12971
1186,7493,5031
1187,21007,14547
1188,20301,14219
1189,33584,22223
1190,14677,9731
1191,22271,13778
1192,4179,2488
1193,10376,6689
1194,35508,24257
1195,20630,13319
1196,9580,6526
1197,15242,10334
1198,12057,8091
1199,20446,13568
1200,32079,21842
1201,7346,4770
1202,11707,7754
1203,10579,7077
1204,9719,6232
1205,25519,16706
1206,19652,13675
1207,9711,6946
1208,16445,10858
1209,18569,13074
1210,21899,14810
1211,38763,26310
1212,12032,7916
1213,21611,13855
1214,13319,8431
1215,24065,16558
1216,16981,11595
1217,8865,5706
1218,20616,13989
1219,20816,13152
1220,40051,27680
1221,41265,27295
1222,35568,23562
1223,18877,13239
1224,21930,14467
1225,21979,15069
1226,32968,22517
1227,32333,21110
1228,23086,15056
1229,32778,21869
1230,22909,14673
1231,43665,30400
1232,34460,20959
1233,18773,12808
1234,8336,5621
1235,22462,15516
1236,30255,20653
1237,48989,32594
1238,22445,14529
1239,6002,4205
1240,37572,25697
1241,14201,9661
1242,14381,9659
1243,26738,17495
1244,10395,7266
1245,37832,25343
1246,33609,23741
1247,36710,23481
1248,26076,17807
1249,14756,11318
1250,12113,8246
1251,22627,14953
1252,28068,19090
1253,19698,13352
1254,20642,14143
1255,21170,13996
1256,22121,15299
1257,20015,13164
1258,26588,17292
1259,4364,2903
1260,30252,21510
1261,33257,22700
1262,3612,2434
1263,15841,11222
1264,22883,15748
1265,13434,8859
1266,12361,8390
1267,12511,8629
1268,20439,14191
1269,16903,11060
1270,12726,8433
1271,15471,10680
1272,14381,8998
1273,18513,12382
1274,6855,4235
1275,21779,14599
1276,20599,14088
1277,24495,16666
1278,11197,7440
1279,7138,4712
1280,9580,6142
1281,18194,12164
1282,6366,4308
1283,12418,7839
1284,10862,7194
1285,7063,4640
1286,9190,5844
1287,6514,4037
1288,10589,7241
1289,19694,11831
1290,5628,3645
1291,13233,8979
1292,12382,8512
1293,13270,8565
1294,9242,5749
1295,12848,8284
1296,18218,11311
1297,5948,3779
1298,7476,4791
1299,22519,14790
1300,8748,5744
1301,8985,6072
1302,9206,6310
1303,8903,5699
1304,38332,26035
1305,28063,19289
1306,25684,16957
1307,45617,32703
1308,23358,16216
1309,45185,29970
1310,46768,31465
1311,17067,11734
1312,22763,14757
1313,21773,15062
1314,19560,13103
1315,18270,12442
1316,23620,15532
1317,8579,5950
1318,28382,19380
1319,19087,12236
1320,14631,9572
1321,22131,14405
1322,24607,16575
1323,10075,6931
1324,21899,14772
1325,26681,17563
1326,43449,29433
1327,17288,11502
1328,31732,20961
1329,33022,21774
1330,42056,25475
1331,8504,5759
1332,27995,18165
1333,12420,7944
1334,7970,5292
1335,35254,24468
1336,35954,23173
1337,15823,10237
1338,24124,15956
1339,19497,13851
1340,32867,22680
1341,22180,14630
1342,37689,23820
1343,27417,18945
1344,24550,16484
1345,20670,14112
1346,24104,16681
1347,20956,13867
1348,28184,19137
1349,6857,4823
1350,13214,8968
1351,22239,14215
1352,16220,11306
1353,17408,11065
1354,13117,8952
1355,19886,12900
1356,19584,12858
1357,34609,24283
1358,24709,15720
1359,27319,18516
1360,23492,16080
1361,15693,10754
1362,8729,5895
1363,10252,7089
1364,14936,9985
1365,26092,17268
1366,27369,19228
1367,17466,11493
1368,32330,21630
1369,16081,11009
1370,16306,11215
1371,25977,16699
1372,13387,8890
1373,5309,3270
1374,15187,9547
1375,25390,17837
1376,12690,8586
1377,30642,20478
1378,23644,15809
1379,12883,9025
1380,10830,7425
1381,27036,18006
1382,10321,6976
1383,20561,14156
1384,11694,7849
1385,21212,13640
1386,9480,6555
1387,35477,24212
1388,12211,8550
1389,27548,17608
1390,27589,19120
1391,7481,4973
1392,37152,24611
1393,29600,19486
1394,19043,13126
1395,23838,15959
1396,48521,34083
1397,14966,10722
1398,29492,17111
1399,8908,6263
1400,15688,11327
1401,13472,9367
1402,6771,4562
1403,11250,7614
1404,35054,23160
1405,7672,4949
1406,4919,3384
1407,15905,11219
1408,18690,11967
1409,15809,10587
1410,28122,17574
1411,20795,11346
1412,23398,15871
1413,26804,17462
1414,5987,3950
1415,21209,13715
1416,23595,15693
1417,15187,10946
1418,16139,11169
1419,24673,16211
1420,42519,28543
1421,6160,3961
1422,25294,16519
1423,30177,19363
1424,19211,13253
1425,47129,31258
1426,6335,4236
1427,50313,33229
1428,18993,12964
1429,12828,8298
1430,20784,14003
1431,20746,13511
1432,30862,20681
1433,22397,14876
1434,26717,18137
1435,24579,16701
1436,16516,11149
1437,40073,26518
1438,18774,12035
1439,25222,17097
1440,10875,7448
1441,21022,13781
1442,14920,9957
1443,25701,17354
1444,16875,11635
1445,14882,9897
1446,22488,14341
1447,13221,8747
1448,21150,14194
1449,19613,12808
1450,22420,15122
1451,24751,16220
1452,31234,21599
1453,6668,4559
1454,14492,9111
1455,6147,4134
1456,5828,3929
1457,3587,2515
1458,6653,4359
1459,9084,6206
1460,8463,5606
1461,4583,3212
1462,11512,7332
1463,3911,2784
1464,25253,16567
1465,40004,27142
1466,33347,22206
1467,22651,14168
1468,22191,14337
1469,15450,10717
1470,26988,17996
1471,28879,19217
1472,19357,13063
1473,22769,14799
1474,13494,9511
1475,24516,16578
1476,28359,17609
1477,30261,20452
1478,27904,18548
1479,15616,10633
1480,16705,11758
1481,36490,24799
1482,11112,7423
1483,25447,17485
1484,16394,11412
1485,30683,20663
1486,10919,7398
1487,29529,18569
1488,25182,16432
1489,9658,6580
1490,43801,29086
1491,18846,12744
1492,33838,23225
1493,21423,13928
1494,20946,13645
1495,23113,15435
1496,24544,16783
1497,23368,16448
1498,11364,7463
1499,5389,3767
1500,10284,6782
1501,12363,8488
1502,27805,18854
1503,25396,16691
1504,31427,19722
1505,28672,18928
1506,34396,21941
1507,21396,14583
1508,23269,15763
1509,33408,22974
1510,26112,17147
1511,39525,25992
1512,15694,10288
1513,20021,13856
1514,32065,21105
1515,17056,11693
1516,35033,22098
1517,2885,2082
1518,14900,10093
1519,24063,15269
1520,13668,8971
1521,12182,8442
1522,16967,11035
1523,24473,15758
1524,25279,16595
1525,13517,8954
1526,7359,5064
1527,20922,14187
1528,10598,6993
1529,6232,4408
1530,36151,24117
1531,28314,19086
1532,6317,4357
1533,25228,17463
1534,16559,10925
1535,15069,10720
1536,23288,15527
1537,18506,12135
1538,20005,13270
1539,22927,15761
1540,16289,11213
1541,22152,14742
1542,38039,26115
1543,21912,14680
1544,25758,17390
1545,22292,15806
1546,27561,18573
1547,34907,22761
1548,34076,22640
1549,21890,15348
1550,19878,14087
1551,27200,17985
1552,33843,22315
1553,23693,16127
1554,36166,24630
1555,26818,18762
1556,46527,31570
1557,56224,36223
1558,14233,9212
1559,22193,14966
1560,39691,25460
1561,26256,17283
1562,29861,19061
1563,32858,19983
1564,22333,14832
1565,38441,23800
1566,48615,32314
1567,41070,26962
1568,24364,16659
1569,14662,9904
1570,25677,17466
1571,62876,37571
1572,24949,17508
1573,12996,8800
1574,20892,13137
1575,26991,17563
1576,26779,17953
1577,44570,23877
1578,15297,10370
1579,19228,13691
1580,10637,7337
1581,16218,10827
1582,27575,18706
1583,18205,12345
1584,13551,8778
1585,16993,11766
1586,19236,12968
1587,9309,5833
1588,7574,5153
1589,29243,18013
1590,15910,9542
1591,43756,29099
1592,18521,12516
1593,28986,20379
1594,18627,12297
1595,13869,9792
1596,6545,4412
1597,23005,15021
1598,5180,3554
1599,27362,18820
1600,18583,12231
1601,6185,4176
1602,28694,19855
1603,23464,15287
1604,32619,21888
1605,22007,14661
1606,23069,15617
1607,50791,33382
1608,23872,16526
1609,10468,7041
1610,18458,12675
1611,13638,9570
1612,954,683
1613,32681,21806
1614,17116,11663
1615,9434,6485
1616,18058,12625
1617,13373,8779
1618,14355,9300
1619,29256,19611
1620,12107,8386
1621,32114,21184
1622,32457,21013
1623,8337,5653
1624,21005,12992
1625,20520,12841
1626,18628,11432
1627,3689,2666
1628,15531,10407
1629,8357,5153
1630,54765,36083
1631,16631,11051
1632,14784,9667
1633,34485,23097
1634,25318,16424
1635,18739,12319
1636,33913,24275
1637,33159,23559
1638,38894,24354
1639,25633,15362
1640,9021,6248
1641,16743,10787
1642,33144,21399
1643,4532,3039
1644,12339,7884
1645,34400,22964
1646,11005,7261
1647,26127,17708
1648,27749,18616
1649,35296,23515
1650,20499,13971
1651,14913,10434
1652,26172,17575
1653,7723,5306
1654,26416,18069
1655,27201,18756
1656,17013,11601
1657,28181,18687
